_id,temperature,humidity_air,pressure,soil_moisture,timestamp
679058dd87d8dc682a77c9d7,11.75,51,1031,0.061,2025-01-22T02:32:55.938689
67905fe287d8dc682a77c9d8,11.41,54,1031,0.061,2025-01-22T03:02:58.377756
679066ec87d8dc682a77c9d9,11.19,55,1031,0.061,2025-01-22T03:33:00.431520
67906df687d8dc682a77c9da,10.99,57,1031,0.061,2025-01-22T04:03:02.596965
6790750087d8dc682a77c9db,10.76,58,1031,0.061,2025-01-22T04:33:04.471845
67907c0a87d8dc682a77c9dc,10.84,58,1031,0.042,2025-01-22T05:03:06.497211
6790831487d8dc682a77c9dd,10.32,60,1031,0.042,2025-01-22T05:33:08.433692
67908a1e87d8dc682a77c9de,10.21,60,1031,0.042,2025-01-22T06:03:10.548123
6790912887d8dc682a77c9df,9.94,61,1031,0.042,2025-01-22T06:33:12.662515
6790983287d8dc682a77c9e0,9.66,62,1030,0.042,2025-01-22T07:03:14.703843
67909f3d87d8dc682a77c9e1,9.46,64,1030,0.042,2025-01-22T07:33:17.134171
6790a64787d8dc682a77c9e2,9.43,65,1030,0.042,2025-01-22T08:03:19.563236
6790ad5187d8dc682a77c9e3,9.16,67,1030,0.042,2025-01-22T08:33:21.779123
6790b45c87d8dc682a77c9e4,9.09,67,1030,0.042,2025-01-22T09:03:24.121605
6790bb6687d8dc682a77c9e5,8.85,69,1029,0.042,2025-01-22T09:33:26.181581
6790c27087d8dc682a77c9e6,8.56,70,1029,0.042,2025-01-22T10:03:28.217807
6790c97a87d8dc682a77c9e7,8.34,71,1029,0.042,2025-01-22T10:33:30.180078
6790d08587d8dc682a77c9e8,8.22,71,1029,0.042,2025-01-22T11:03:33.313486
6790d78f87d8dc682a77c9e9,7.85,71,1029,0.042,2025-01-22T11:33:35.644983
6790de9987d8dc682a77c9ea,7.78,72,1029,0.065,2025-01-22T12:03:37.995859
6790e5a487d8dc682a77c9eb,7.94,71,1028,0.065,2025-01-22T12:33:40.227484
6790ecae87d8dc682a77c9ec,7.62,71,1028,0.065,2025-01-22T13:03:42.420023
6790f3b887d8dc682a77c9ed,7.68,72,1028,0.065,2025-01-22T13:33:44.514573
6790fac287d8dc682a77c9ee,7.64,71,1028,0.065,2025-01-22T14:03:46.474465
679101cc87d8dc682a77c9ef,7.42,74,1028,0.065,2025-01-22T14:33:48.619944
679108d687d8dc682a77c9f0,7.28,74,1028,0.065,2025-01-22T15:03:50.756095
67910fe187d8dc682a77c9f1,7.25,75,1028,0.065,2025-01-22T15:33:53.008451
679116eb87d8dc682a77c9f2,7.66,75,1028,0.065,2025-01-22T16:03:55.171827
67911df587d8dc682a77c9f3,8.58,75,1028,0.065,2025-01-22T16:33:57.311571
679124ff87d8dc682a77c9f4,9.31,73,1028,0.042,2025-01-22T17:03:59.490700
67912c0987d8dc682a77c9f5,10.04,70,1028,0.042,2025-01-22T17:34:01.534789
6791331387d8dc682a77c9f6,11.32,65,1028,0.042,2025-01-22T18:04:03.642479
67913a1d87d8dc682a77c9f7,13.02,58,1029,0.042,2025-01-22T18:34:05.734510
6791412787d8dc682a77c9f8,13.59,54,1029,0.042,2025-01-22T19:04:07.707006
6791483187d8dc682a77c9fa,13.99,50,1029,0.042,2025-01-22T19:34:09.673160
67914f3b87d8dc682a77c9fb,15.03,46,1028,0.042,2025-01-22T20:04:11.872863
6791564587d8dc682a77c9fc,15.68,43,1027,0.042,2025-01-22T20:34:13.829842
67915d4f87d8dc682a77c9fd,16.03,42,1027,0.042,2025-01-22T21:04:15.702807
6791645987d8dc682a77c9fe,16.5,40,1026,0.042,2025-01-22T21:34:17.732464
67916b6387d8dc682a77c9ff,16.97,39,1026,0.042,2025-01-22T22:04:19.641979
6791726d87d8dc682a77ca00,17.22,40,1026,0.042,2025-01-22T22:34:21.604738
6791797787d8dc682a77ca01,17.32,39,1025,0.042,2025-01-22T23:04:23.878547
6791808187d8dc682a77ca02,17,42,1025,0.042,2025-01-22T23:34:25.780877
6791878b87d8dc682a77ca03,16.4,46,1025,0.063,2025-01-23T00:04:27.845517
